gml_id,oid,aktualit,art,name,schluessel,gemeinde,gmdschl
DE090010,DE090010,2023-06-19Z,Gemarkung,Filke,"090010",Willmars,"09673182"
DE090001,DE090001,2023-08-09Z,Gemarkung,Huflar,"090001",Fladungen,"09673123"
DE090007,DE090007,2023-08-31Z,Gemarkung,Fladungen,"090007",Fladungen,"09673123"
DE090011,DE090011,2023-08-29Z,Gemarkung,Hausen,"090011",Hausen,"09673129"
DE090039,DE090039,2023-08-15Z,Gemarkung,Haselbach i.d.Rhön,"090039",Bischofsheim i.d.Rhön,"09673117"
DE090248,DE090248,2023-08-21Z,Gemarkung,Völkersleier,"090248","Wartmannsroth;Omerz u.Roter Berg","09672161;09672463"
DE090027,DE090027,2023-08-31Z,Gemarkung,Eußenhausen,"090027",Mellrichstadt,"09673142"
DE098304,DE098304,2023-08-31Z,Gemarkung,Tünzhausen,"098304","Allershausen;Kirchdorf a.d.Amper;Kranzberg","09178113;09178136;09178137"
DE098296,DE098296,2023-08-31Z,Gemarkung,Moosburg a.d.Isar,"098296",Moosburg a.d.Isar,"09178143"
DE098288,DE098288,2023-08-31Z,Gemarkung,Zolling,"098288",Zolling,"09178157"
DE095919,DE095919,2023-08-29Z,Gemarkung,Seebach,"095919","Deggendorf;Hengersberg","09271119;09271125"
DE095910,DE095910,2023-08-29Z,Gemarkung,Offenberg,"095910",Offenberg,"09271140"
DE090197,DE090197,2023-08-28Z,Gemarkung,Modlos,"090197",Oberleichtersbach,"09672138"
DE095909,DE095909,2023-08-29Z,Gemarkung,Buchberg,"095909",Offenberg,"09271140"
DE090025,DE090025,2023-08-30Z,Gemarkung,Ostheim v.d.Rhön,"090025",Ostheim v.d.Rhön,"09673153"
DE090226,DE090226,2023-08-14Z,Gemarkung,Detter,"090226","Schondra;Zeitlofs","09672149;09672166"
DE090253,DE090253,2022-08-13Z,Gemarkung,Euerdorfer Forst,"090253","Aura a.d.Saale;Bad Kissingen","09672111;09672114"
DE095871,DE095871,2023-08-29Z,Gemarkung,Fürsteneck,"095871",Fürsteneck,"09272119"
DE090031,DE090031,2023-08-25Z,Gemarkung,Weisbach,"090031",Oberelsbach,"09673149"
DE090075,DE090075,2023-08-22Z,Gemarkung,Schmalwasser,"090075",Sandberg,"09673162"
DE090022,DE090022,2023-08-30Z,Gemarkung,Oberelsbach,"090022",Oberelsbach,"09673149"
DE095869,DE095869,2023-08-29Z,Gemarkung,Neureichenau,"095869","Neureichenau;Pleckensteiner Wald","09272136;09272458"
DE090225,DE090225,2021-10-30Z,Gemarkung,Roßbacher Forst,"090225","Wartmannsroth;Zeitlofs;Roßbacher Forst","09672161;09672166;09672466"
DE090014,DE090014,2023-08-30Z,Gemarkung,Willmars,"090014",Willmars,"09673182"
DE090330,DE090330,2022-08-25Z,Gemarkung,Schöllkrippener Forst,"090330","Sommerkahl;Schöllkrippener Forst","09671153;09671459"
DE090058,DE090058,2023-08-08Z,Gemarkung,Sandberg,"090058",Sandberg,"09673162"
DE090061,DE090061,2023-08-23Z,Gemarkung,Burgwallbach,"090061",Schönau a.d.Brend,"09673163"
DE096016,DE096016,2023-07-25Z,Gemarkung,Dünzling,"096016",Bad Abbach,"09273116"
DE090055,DE090055,2023-08-23Z,Gemarkung,Hendungen,"090055",Hendungen,"09673130"
DE090574,DE090574,2022-09-19Z,Gemarkung,Fürstl.Löwenstein'scher Park,"090574","Bischbrunn;Esselbach;Hafenlohr;Fürstl.Löwenstein'scher Park","09677120;09677126;09677135;09677456"
DE096187,DE096187,2023-08-24Z,Gemarkung,Lengthal,"096187",Moosthenning,"09279128"
DE092018,DE092018,2022-08-20Z,Gemarkung,Unterschieda,"092018",Kirchenlamitz,"09479129"
DE090363,DE090363,2023-08-16Z,Gemarkung,Goldbach,"090363",Goldbach,"09671121"
DE090042,DE090042,2023-08-29Z,Gemarkung,Schönau a.d.Brend,"090042",Schönau a.d.Brend,"09673163"
DE090523,DE090523,2023-08-28Z,Gemarkung,Frammersbach,"090523",Frammersbach,"09677129"
DE096312,DE096312,2023-08-24Z,Gemarkung,Hauzenberg,"096312",Hauzenberg,"09275126"
DE091748,DE091748,2023-07-27Z,Gemarkung,Ziegelhüttener Forst,"091748",Kulmbach,"09477128"
DE090183,DE090183,2023-07-21Z,Gemarkung,Oberleichtersbach,"090183","Bad Brückenau;Oberleichtersbach","09672113;09672138"
DE090339,DE090339,2023-08-21Z,Gemarkung,Eichenberg,"090339",Sailauf,"09671150"
DE090857,DE090857,2023-08-28Z,Gemarkung,Maibach,"090857",Poppenhausen,"09678168"
DE090726,DE090726,2023-06-15Z,Gemarkung,Fuchsstadt,"090726",Reichenberg,"09679176"
DE090210,DE090210,2022-02-28Z,Gemarkung,Singenrain,"090210",Schondra,"09672149"
DE090473,DE090473,2022-07-25Z,Gemarkung,Otterbach,"090473",Amorbach,"09676112"
DE096273,DE096273,2023-08-24Z,Gemarkung,Söldenau,"096273",Ortenburg,"09275138"
DE094268,DE094268,2022-12-10Z,Gemarkung,Hessenreuth,"094268",Pressath,"09374149"
DE090097,DE090097,2023-08-31Z,Gemarkung,Bad Königshofen i.Grabfeld,"090097",Bad Königshofen i.Grabfeld,"09673141"
DE091326,DE091326,2022-05-09Z,Gemarkung,Callenberger Forst-West,"091326",Callenberger Forst-West,"09473452"
DE090080,DE090080,2023-08-29Z,Gemarkung,Brendlorenzen,"090080",Bad Neustadt a.d.Saale,"09673114"
DE090186,DE090186,2023-08-29Z,Gemarkung,Schondra,"090186",Schondra,"09672149"
DE090188,DE090188,2023-08-31Z,Gemarkung,Burkardroth,"090188",Burkardroth,"09672117"
