gml_id,oid,aktualit,art,name,rs,ags,uebobjekt,ueboname
DE091620000000,DE091620000000,2023-08-31Z,Gemeinde,München,"091620000000","09162000",DE091620000,München
DE091630000000,DE091630000000,2023-08-31Z,Gemeinde,Rosenheim,"091630000000","09163000",DE091630000,Rosenheim
DE091710113113,DE091710113113,2023-08-31Z,Gemeinde,Burgkirchen a.d.Alz,"091710113113","09171113",DE091710113,Burgkirchen a.d.Alz
DE091735107113,DE091735107113,2023-08-05Z,Gemeinde,Benediktbeuern,"091735107113","09173113",DE091735107,Verwaltungsgemeinschaft Benediktbeuern
DE091610000000,DE091610000000,2023-08-30Z,Gemeinde,Ingolstadt,"091610000000","09161000",DE091610000,Ingolstadt
DE091730120120,DE091730120120,2023-08-26Z,Gemeinde,Egling,"091730120120","09173120",DE091730120,Egling
DE091710131131,DE091710131131,2023-08-14Z,Gemeinde,Teising,"091710131131","09171131",DE091710131,Teising
DE091710117117,DE091710117117,2023-08-31Z,Gemeinde,Garching a.d.Alz,"091710117117","09171117",DE091710117,Garching a.d.Alz
DE091710118118,DE091710118118,2023-08-19Z,Gemeinde,Haiming,"091710118118","09171118",DE091710118,Haiming
DE091710111111,DE091710111111,2023-08-23Z,Gemeinde,Altötting,"091710111111","09171111",DE091710111,Altötting
DE091715102119,DE091715102119,2023-08-10Z,Gemeinde,Halsbach,"091715102119","09171119",DE091715102,Verwaltungsgemeinschaft Kirchweidach
DE091715103130,DE091715103130,2023-08-18Z,Gemeinde,Stammham,"091715103130","09171130",DE091715103,Verwaltungsgemeinschaft Marktl
DE091715102122,DE091715102122,2023-08-31Z,Gemeinde,Kirchweidach,"091715102122","09171122",DE091715102,Verwaltungsgemeinschaft Kirchweidach
DE091715101124,DE091715101124,2023-08-29Z,Gemeinde,Mehring,"091715101124","09171124",DE091715101,Verwaltungsgemeinschaft Emmerting
DE091720116116,DE091720116116,2023-08-24Z,Gemeinde,Berchtesgaden,"091720116116","09172116",DE091720116,Berchtesgaden
DE091710127127,DE091710127127,2023-08-29Z,Gemeinde,Pleiskirchen,"091710127127","09171127",DE091710127,Pleiskirchen
DE091715101114,DE091715101114,2023-08-30Z,Gemeinde,Emmerting,"091715101114","09171114",DE091715101,Verwaltungsgemeinschaft Emmerting
DE091710112112,DE091710112112,2023-08-28Z,Gemeinde,Burghausen,"091710112112","09171112",DE091710112,Burghausen
DE091710132132,DE091710132132,2023-08-28Z,Gemeinde,Töging a.Inn,"091710132132","09171132",DE091710132,Töging a.Inn
DE091765116116,DE091765116116,2023-08-25Z,Gemeinde,Böhmfeld,"091765116116","09176116",DE091765116,Verwaltungsgemeinschaft Eitensheim
DE091760138138,DE091760138138,2023-08-31Z,Gemeinde,Kipfenberg,"091760138138","09176138",DE091760138,Kipfenberg
DE091760139139,DE091760139139,2023-08-31Z,Gemeinde,Kösching,"091760139139","09176139",DE091760139,Kösching
DE091759451451,DE091759451451,2023-07-05Z,Gemeinde,Anzinger Forst,"091759451451","09175451",DE091759451,Anzinger Forst
DE091765119147,DE091765119147,2023-08-24Z,Gemeinde,Mindelstetten,"091765119147","09176147",DE091765119,Verwaltungsgemeinschaft Pförring
DE091810128128,DE091810128128,2023-08-26Z,Gemeinde,Kaufering,"091810128128","09181128",DE091810128,Kaufering
DE091755114128,DE091755114128,2023-08-29Z,Gemeinde,Moosach,"091755114128","09175128",DE091755114,Verwaltungsgemeinschaft Glonn
DE091730130130,DE091730130130,2023-08-30Z,Gemeinde,Icking,"091730130130","09173130",DE091730130,Icking
DE091780144144,DE091780144144,2023-08-28Z,Gemeinde,Nandlstadt,"091780144144","09178144",DE091780144,Nandlstadt
DE091760148148,DE091760148148,2023-08-31Z,Gemeinde,Mörnsheim,"091760148148","09176148",DE091760148,Mörnsheim
DE091730131131,DE091730131131,2023-08-30Z,Gemeinde,Jachenau,"091730131131","09173131",DE091730131,Jachenau
DE091755114114,DE091755114114,2023-08-02Z,Gemeinde,Bruck,"091755114114","09175114",DE091755114,Verwaltungsgemeinschaft Glonn
DE091805136114,DE091805136114,2023-08-16Z,Gemeinde,Eschenlohe,"091805136114","09180114",DE091805136,Verwaltungsgemeinschaft Ohlstadt
DE091765119153,DE091765119153,2023-08-31Z,Gemeinde,Pförring,"091765119153","09176153",DE091765119,Verwaltungsgemeinschaft Pförring
DE091730135135,DE091730135135,2023-08-30Z,Gemeinde,Lenggries,"091730135135","09173135",DE091730135,Lenggries
DE091765115160,DE091765115160,2023-08-31Z,Gemeinde,Schernfeld,"091765115160","09176160",DE091765115,Verwaltungsgemeinschaft Eichstätt
DE091820112112,DE091820112112,2023-08-15Z,Gemeinde,Bayrischzell,"091820112112","09182112",DE091820112,Bayrischzell
DE091785129155,DE091785129155,2023-08-28Z,Gemeinde,Wang,"091785129155","09178155",DE091785129,Verwaltungsgemeinschaft Mauern
DE091730137137,DE091730137137,2023-08-30Z,Gemeinde,Münsing,"091730137137","09173137",DE091730137,Münsing
DE091790119119,DE091790119119,2023-08-28Z,Gemeinde,Emmering,"091790119119","09179119",DE091790119,Emmering
DE091795131140,DE091795131140,2023-08-28Z,Gemeinde,Oberschweinbach,"091795131140","09179140",DE091795131,Verwaltungsgemeinschaft Mammendorf
DE091765118122,DE091765118122,2023-08-25Z,Gemeinde,Egweil,"091765118122","09176122",DE091765118,Verwaltungsgemeinschaft Nassenfels
DE091750132132,DE091750132132,2023-08-29Z,Gemeinde,Vaterstetten,"091750132132","09175132",DE091750132,Vaterstetten
DE091765116124,DE091765116124,2023-08-25Z,Gemeinde,Eitensheim,"091765116124","09176124",DE091765116,Verwaltungsgemeinschaft Eitensheim
DE091760164164,DE091760164164,2023-08-31Z,Gemeinde,Titting,"091760164164","09176164",DE091760164,Titting
DE091815142129,DE091815142129,2023-08-19Z,Gemeinde,Kinsau,"091815142129","09181129",DE091815142,Verwaltungsgemeinschaft Reichling
DE091820127127,DE091820127127,2023-08-19Z,Gemeinde,Otterfing,"091820127127","09182127",DE091820127,Otterfing
DE091760112112,DE091760112112,2023-08-29Z,Gemeinde,Altmannstein,"091760112112","09176112",DE091760112,Altmannstein
DE091775123133,DE091775123133,2023-08-29Z,Gemeinde,Oberding,"091775123133","09177133",DE091775123,Verwaltungsgemeinschaft Oberding
